1	я	я	PRON	PRP	Case=Nom|Number=Sing|Person=1	_	_	_	@dib1981m-words#@dib1981m-words#3.14#3.413
2	должен	должен	ADJ	JJH	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	_	_	_	@dib1981m-words#@dib1981m-words#3.413#3.686
3	/	/	SYM	SYM	_	_	_	_	@dib1981m-words#@dib1981m-words#3.686#3.959
4	да	да	NOUN	NN	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#3.959#4.232
5	?	?	PUNCT	.	_	_	_	_	@dib1981m-words#@dib1981m-words#4.232#4.506
6	ну	но	NOUN	NN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#5.028#5.34
7	/	/	SYM	SYM	_	_	_	_	@dib1981m-words#@dib1981m-words#5.34#5.652
8	ээ	ээ	PROPN	NNP	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#5.652#5.964
9	я	я	PRON	PRP	Case=Nom|Number=Sing|Person=1	_	_	_	@dib1981m-words#@dib1981m-words#5.964#6.276
10	не	не	PART	NEG	Polarity=Neg	_	_	_	@dib1981m-words#@dib1981m-words#6.276#6.588
11	хочу	хочу	NOUN	NN	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#6.588#6.9
12	никого	никий	ADJ	JJL	Case=Gen|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#6.9#7.212
13	обидеть	обидеть	VERB	VB	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@dib1981m-words#@dib1981m-words#7.212#7.524
14	/	/	SYM	SYM	_	_	_	_	@dib1981m-words#@dib1981m-words#7.524#7.836
15	но	но	CCONJ	CC	_	_	_	_	@dib1981m-words#@dib1981m-words#7.836#8.148
16	мне	я	PRON	PRP	Case=Dat|Number=Sing|Person=1	_	_	_	@dib1981m-words#@dib1981m-words#8.148#8.46
17	кажется	казаться	VERB	VBC	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@dib1981m-words#@dib1981m-words#8.46#8.772
18	это	этот	DET	DT	Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#8.772#9.084
19	следствие	следствие	NOUN	NN	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#9.084#9.396
20	может	мочь	VERB	VBC	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@dib1981m-words#@dib1981m-words#9.396#9.708
21	каких-то	каких-то	DET	DT	Case=Nom|Gender=Fem|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#9.708#10.02
22	переживаний	переживание	NOUN	NN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	_	_	_	@dib1981m-words#@dib1981m-words#10.02#10.332
23	в	в	ADP	IN	_	_	_	_	@dib1981m-words#@dib1981m-words#10.332#10.644
24	детстве	детство	NOUN	NN	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#10.644#10.956
25	или	или	CCONJ	CC	_	_	_	_	@dib1981m-words#@dib1981m-words#10.956#11.268
26	других	друго	ADJ	JJL	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@dib1981m-words#@dib1981m-words#11.268#11.58
27	ущимлений	ущимление	NOUN	NN	Animacy=Inan|Case=Gen|Gender=Neut|Number=Plur	_	_	_	@dib1981m-words#@dib1981m-words#11.58#11.892
28	/	/	SYM	SYM	_	_	_	_	@dib1981m-words#@dib1981m-words#11.892#12.204
29	когда	когда	ADV	WRB	_	_	_	_	@dib1981m-words#@dib1981m-words#12.204#12.516
30	человек	человек	NOUN	NN	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#12.516#12.828
31	пытается	пытаться	VERB	VBC	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	_	_	_	@dib1981m-words#@dib1981m-words#12.828#13.14
32	сам	сам	ADJ	JJL	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#13.14#13.452
33	себе	себя	PRON	PRP	Case=Dat|Reflex=Yes	_	_	_	@dib1981m-words#@dib1981m-words#13.452#13.764
34	доказать	доказать	VERB	VB	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@dib1981m-words#@dib1981m-words#13.764#14.076
35	/	/	SYM	SYM	_	_	_	_	@dib1981m-words#@dib1981m-words#14.076#14.388
36	и	и	CCONJ	CC	_	_	_	_	@dib1981m-words#@dib1981m-words#14.388#14.7
37	доказать	доказать	VERB	VB	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@dib1981m-words#@dib1981m-words#14.7#15.012
38	обществу	общество	NOUN	NN	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#15.012#15.324
39	/	/	SYM	SYM	_	_	_	_	@dib1981m-words#@dib1981m-words#15.324#15.636
40	в	в	ADP	IN	_	_	_	_	@dib1981m-words#@dib1981m-words#15.636#15.948
41	том	то	DET	DT	Case=Loc|Gender=Neut|Number=Sing	_	_	_	@dib1981m-words#@dib1981m-words#15.948#16.26
42	/	/	SYM	SYM	_	_	_	_	@dib1981m-words#@dib1981m-words#16.26#16.572
43	что	что	SCONJ	IN	_	_	_	_	@dib1981m-words#@dib1981m-words#16.572#16.884
44	там	там	ADV	RB	Degree=Pos	_	_	_	@dib1981m-words#@dib1981m-words#16.884#17.196
